in:Shade_Count,in:Shade_Depth,in:Shade_Vertical,in:Angle,out:Cooling Energy Kwh,out:Heating Energy Kwh,img
0,.1,False,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalFalse_Angle0.png
1,.1,False,0,696.4796214,719.8302043,Shade_Count1_Shade_Depth.1_Shade_VerticalFalse_Angle0.png
2,.1,False,0,691.435823,718.7628384,Shade_Count2_Shade_Depth.1_Shade_VerticalFalse_Angle0.png
3,.1,False,0,686.3061094,717.7749235,Shade_Count3_Shade_Depth.1_Shade_VerticalFalse_Angle0.png
4,.1,False,0,678.7539184,716.8476939,Shade_Count4_Shade_Depth.1_Shade_VerticalFalse_Angle0.png
0,.2,False,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalFalse_Angle0.png
1,.2,False,0,691.3918325,718.7767891,Shade_Count1_Shade_Depth.2_Shade_VerticalFalse_Angle0.png
2,.2,False,0,682.6492267,716.8626445,Shade_Count2_Shade_Depth.2_Shade_VerticalFalse_Angle0.png
3,.2,False,0,672.7099444,715.3246075,Shade_Count3_Shade_Depth.2_Shade_VerticalFalse_Angle0.png
4,.2,False,0,664.2368118,713.9952472,Shade_Count4_Shade_Depth.2_Shade_VerticalFalse_Angle0.png
0,.3,False,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalFalse_Angle0.png
1,.3,False,0,686.8231867,717.8092217,Shade_Count1_Shade_Depth.3_Shade_VerticalFalse_Angle0.png
2,.3,False,0,674.6121895,715.3380133,Shade_Count2_Shade_Depth.3_Shade_VerticalFalse_Angle0.png
3,.3,False,0,663.1152264,713.4647086,Shade_Count3_Shade_Depth.3_Shade_VerticalFalse_Angle0.png
4,.3,False,0,654.6054357,712.1494693,Shade_Count4_Shade_Depth.3_Shade_VerticalFalse_Angle0.png
0,.4,False,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalFalse_Angle0.png
1,.4,False,0,683.0522738,716.9110845,Shade_Count1_Shade_Depth.4_Shade_VerticalFalse_Angle0.png
2,.4,False,0,668.1441594,714.0123303,Shade_Count2_Shade_Depth.4_Shade_VerticalFalse_Angle0.png
3,.4,False,0,655.8844779,712.1355456,Shade_Count3_Shade_Depth.4_Shade_VerticalFalse_Angle0.png
4,.4,False,0,647.8732602,710.7556804,Shade_Count4_Shade_Depth.4_Shade_VerticalFalse_Angle0.png
0,.1,True,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalTrue_Angle0.png
1,.1,True,0,701.9133569,720.8268206,Shade_Count1_Shade_Depth.1_Shade_VerticalTrue_Angle0.png
2,.1,True,0,701.2735008,720.5943553,Shade_Count2_Shade_Depth.1_Shade_VerticalTrue_Angle0.png
3,.1,True,0,700.4558456,720.3620453,Shade_Count3_Shade_Depth.1_Shade_VerticalTrue_Angle0.png
4,.1,True,0,696.5050848,720.1298946,Shade_Count4_Shade_Depth.1_Shade_VerticalTrue_Angle0.png
0,.2,True,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalTrue_Angle0.png
1,.2,True,0,701.5861365,720.6966672,Shade_Count1_Shade_Depth.2_Shade_VerticalTrue_Angle0.png
2,.2,True,0,700.4026525,720.2530186,Shade_Count2_Shade_Depth.2_Shade_VerticalTrue_Angle0.png
3,.2,True,0,698.9577645,719.8099148,Shade_Count3_Shade_Depth.2_Shade_VerticalTrue_Angle0.png
4,.2,True,0,694.4103016,719.3673312,Shade_Count4_Shade_Depth.2_Shade_VerticalTrue_Angle0.png
0,.3,True,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalTrue_Angle0.png
1,.3,True,0,701.2187526,720.5758619,Shade_Count1_Shade_Depth.3_Shade_VerticalTrue_Angle0.png
2,.3,True,0,699.4067925,719.938893,Shade_Count2_Shade_Depth.3_Shade_VerticalTrue_Angle0.png
3,.3,True,0,697.4729909,719.3030267,Shade_Count3_Shade_Depth.3_Shade_VerticalTrue_Angle0.png
4,.3,True,0,692.4815887,718.6682356,Shade_Count4_Shade_Depth.3_Shade_VerticalTrue_Angle0.png
0,.4,True,0,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalTrue_Angle0.png
1,.4,True,0,700.9146808,720.4634351,Shade_Count1_Shade_Depth.4_Shade_VerticalTrue_Angle0.png
2,.4,True,0,698.6836243,719.6480953,Shade_Count2_Shade_Depth.4_Shade_VerticalTrue_Angle0.png
3,.4,True,0,695.912856,718.8345449,Shade_Count3_Shade_Depth.4_Shade_VerticalTrue_Angle0.png
4,.4,True,0,691.2551331,718.0944464,Shade_Count4_Shade_Depth.4_Shade_VerticalTrue_Angle0.png
0,.1,False,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalFalse_Angle25.png
1,.1,False,25,694.8798131,719.4120771,Shade_Count1_Shade_Depth.1_Shade_VerticalFalse_Angle25.png
2,.1,False,25,688.3348426,717.9264292,Shade_Count2_Shade_Depth.1_Shade_VerticalFalse_Angle25.png
3,.1,False,25,682.0112229,716.5122432,Shade_Count3_Shade_Depth.1_Shade_VerticalFalse_Angle25.png
4,.1,False,25,670.7056189,715.1827409,Shade_Count4_Shade_Depth.1_Shade_VerticalFalse_Angle25.png
0,.2,False,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalFalse_Angle25.png
1,.2,False,25,688.2055945,717.9486193,Shade_Count1_Shade_Depth.2_Shade_VerticalFalse_Angle25.png
2,.2,False,25,676.7340005,715.2191248,Shade_Count2_Shade_Depth.2_Shade_VerticalFalse_Angle25.png
3,.2,False,25,666.0684536,712.9390818,Shade_Count3_Shade_Depth.2_Shade_VerticalFalse_Angle25.png
4,.2,False,25,651.8547095,711.0894605,Shade_Count4_Shade_Depth.2_Shade_VerticalFalse_Angle25.png
0,.3,False,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalFalse_Angle25.png
1,.3,False,25,682.0115523,716.560729,Shade_Count1_Shade_Depth.3_Shade_VerticalFalse_Angle25.png
2,.3,False,25,666.3546205,712.9503461,Shade_Count2_Shade_Depth.3_Shade_VerticalFalse_Angle25.png
3,.3,False,25,654.180473,710.2961302,Shade_Count3_Shade_Depth.3_Shade_VerticalFalse_Angle25.png
4,.3,False,25,640.9537292,708.464348,Shade_Count4_Shade_Depth.3_Shade_VerticalFalse_Angle25.png
0,.4,False,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalFalse_Angle25.png
1,.4,False,25,676.730785,715.2679812,Shade_Count1_Shade_Depth.4_Shade_VerticalFalse_Angle25.png
2,.4,False,25,658.2845719,711.092411,Shade_Count2_Shade_Depth.4_Shade_VerticalFalse_Angle25.png
3,.4,False,25,643.8026301,708.4364939,Shade_Count3_Shade_Depth.4_Shade_VerticalFalse_Angle25.png
4,.4,False,25,634.1826158,706.8580635,Shade_Count4_Shade_Depth.4_Shade_VerticalFalse_Angle25.png
0,.1,True,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalTrue_Angle25.png
1,.1,True,25,701.8138821,720.7953121,Shade_Count1_Shade_Depth.1_Shade_VerticalTrue_Angle25.png
2,.1,True,25,701.0426354,720.5558743,Shade_Count2_Shade_Depth.1_Shade_VerticalTrue_Angle25.png
3,.1,True,25,700.1657697,720.3165779,Shade_Count3_Shade_Depth.1_Shade_VerticalTrue_Angle25.png
4,.1,True,25,694.7855691,720.0775671,Shade_Count4_Shade_Depth.1_Shade_VerticalTrue_Angle25.png
0,.2,True,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalTrue_Angle25.png
1,.2,True,25,701.3600036,720.6349078,Shade_Count1_Shade_Depth.2_Shade_VerticalTrue_Angle25.png
2,.2,True,25,699.9161764,720.1756295,Shade_Count2_Shade_Depth.2_Shade_VerticalTrue_Angle25.png
3,.2,True,25,698.0700957,719.7169627,Shade_Count3_Shade_Depth.2_Shade_VerticalTrue_Angle25.png
4,.2,True,25,691.5305021,719.2589779,Shade_Count4_Shade_Depth.2_Shade_VerticalTrue_Angle25.png
0,.3,True,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalTrue_Angle25.png
1,.3,True,25,700.9595847,720.4835587,Shade_Count1_Shade_Depth.3_Shade_VerticalTrue_Angle25.png
2,.3,True,25,698.8704295,719.8193702,Shade_Count2_Shade_Depth.3_Shade_VerticalTrue_Angle25.png
3,.3,True,25,696.1551508,719.1563959,Shade_Count3_Shade_Depth.3_Shade_VerticalTrue_Angle25.png
4,.3,True,25,689.8010162,718.4967828,Shade_Count4_Shade_Depth.3_Shade_VerticalTrue_Angle25.png
0,.4,True,25,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalTrue_Angle25.png
1,.4,True,25,700.5179906,720.3417436,Shade_Count1_Shade_Depth.4_Shade_VerticalTrue_Angle25.png
2,.4,True,25,697.6394884,719.487029,Shade_Count2_Shade_Depth.4_Shade_VerticalTrue_Angle25.png
3,.4,True,25,693.8752251,718.6360162,Shade_Count3_Shade_Depth.4_Shade_VerticalTrue_Angle25.png
4,.4,True,25,686.040111,717.8343606,Shade_Count4_Shade_Depth.4_Shade_VerticalTrue_Angle25.png
0,.1,False,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalFalse_Angle45.png
1,.1,False,45,694.5848627,719.2815336,Shade_Count1_Shade_Depth.1_Shade_VerticalFalse_Angle45.png
2,.1,False,45,687.4432977,717.6431405,Shade_Count2_Shade_Depth.1_Shade_VerticalFalse_Angle45.png
3,.1,False,45,680.6462374,716.0507543,Shade_Count3_Shade_Depth.1_Shade_VerticalFalse_Angle45.png
4,.1,False,45,666.4332618,714.5579694,Shade_Count4_Shade_Depth.1_Shade_VerticalFalse_Angle45.png
0,.2,False,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalFalse_Angle45.png
1,.2,False,45,687.3198396,717.6638093,Shade_Count1_Shade_Depth.2_Shade_VerticalFalse_Angle45.png
2,.2,False,45,674.4650493,714.5861984,Shade_Count2_Shade_Depth.2_Shade_VerticalFalse_Angle45.png
3,.2,False,45,658.7578212,711.8884262,Shade_Count3_Shade_Depth.2_Shade_VerticalFalse_Angle45.png
4,.2,False,45,645.9013187,709.6832442,Shade_Count4_Shade_Depth.2_Shade_VerticalFalse_Angle45.png
0,.3,False,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalFalse_Angle45.png
1,.3,False,45,680.5579781,716.1003816,Shade_Count1_Shade_Depth.3_Shade_VerticalFalse_Angle45.png
2,.3,False,45,662.855012,711.8980963,Shade_Count2_Shade_Depth.3_Shade_VerticalFalse_Angle45.png
3,.3,False,45,644.5425029,708.7458398,Shade_Count3_Shade_Depth.3_Shade_VerticalFalse_Angle45.png
4,.3,False,45,633.8161005,706.7787561,Shade_Count4_Shade_Depth.3_Shade_VerticalFalse_Angle45.png
0,.4,False,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalFalse_Angle45.png
1,.4,False,45,673.3923699,714.6234072,Shade_Count1_Shade_Depth.4_Shade_VerticalFalse_Angle45.png
2,.4,False,45,652.7888462,709.6868315,Shade_Count2_Shade_Depth.4_Shade_VerticalFalse_Angle45.png
3,.4,False,45,634.8748487,706.7374607,Shade_Count3_Shade_Depth.4_Shade_VerticalFalse_Angle45.png
4,.4,False,45,629.9696257,705.6492815,Shade_Count4_Shade_Depth.4_Shade_VerticalFalse_Angle45.png
0,.1,True,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalTrue_Angle45.png
1,.1,True,45,701.7331438,720.7723973,Shade_Count1_Shade_Depth.1_Shade_VerticalTrue_Angle45.png
2,.1,True,45,700.8218629,720.5254398,Shade_Count2_Shade_Depth.1_Shade_VerticalTrue_Angle45.png
3,.1,True,45,699.8588315,720.2786623,Shade_Count3_Shade_Depth.1_Shade_VerticalTrue_Angle45.png
4,.1,True,45,693.281241,720.0322487,Shade_Count4_Shade_Depth.1_Shade_VerticalTrue_Angle45.png
0,.2,True,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalTrue_Angle45.png
1,.2,True,45,701.1942092,720.5863237,Shade_Count1_Shade_Depth.2_Shade_VerticalTrue_Angle45.png
2,.2,True,45,699.4570019,720.1062011,Shade_Count2_Shade_Depth.2_Shade_VerticalTrue_Angle45.png
3,.2,True,45,697.2921871,719.6267124,Shade_Count3_Shade_Depth.2_Shade_VerticalTrue_Angle45.png
4,.2,True,45,689.6318233,719.148112,Shade_Count4_Shade_Depth.2_Shade_VerticalTrue_Angle45.png
0,.3,True,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalTrue_Angle45.png
1,.3,True,45,700.6598722,720.4078806,Shade_Count1_Shade_Depth.3_Shade_VerticalTrue_Angle45.png
2,.3,True,45,698.0962043,719.7060369,Shade_Count2_Shade_Depth.3_Shade_VerticalTrue_Angle45.png
3,.3,True,45,694.2266361,719.0055527,Shade_Count3_Shade_Depth.3_Shade_VerticalTrue_Angle45.png
4,.3,True,45,687.212007,718.3065942,Shade_Count4_Shade_Depth.3_Shade_VerticalTrue_Angle45.png
0,.4,True,45,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalTrue_Angle45.png
1,.4,True,45,700.1541277,720.2387029,Shade_Count1_Shade_Depth.4_Shade_VerticalTrue_Angle45.png
2,.4,True,45,696.6835447,719.327178,Shade_Count2_Shade_Depth.4_Shade_VerticalTrue_Angle45.png
3,.4,True,45,691.5985106,718.417905,Shade_Count3_Shade_Depth.4_Shade_VerticalTrue_Angle45.png
4,.4,True,45,684.9646906,717.5377555,Shade_Count4_Shade_Depth.4_Shade_VerticalTrue_Angle45.png
0,.1,False,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalFalse_Angle65.png
1,.1,False,65,695.2923156,719.3666101,Shade_Count1_Shade_Depth.1_Shade_VerticalFalse_Angle65.png
2,.1,False,65,688.440328,717.7798636,Shade_Count2_Shade_Depth.1_Shade_VerticalFalse_Angle65.png
3,.1,False,65,681.7919926,716.2126849,Shade_Count3_Shade_Depth.1_Shade_VerticalFalse_Angle65.png
4,.1,False,65,668.3900285,714.6866031,Shade_Count4_Shade_Depth.1_Shade_VerticalFalse_Angle65.png
0,.2,False,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalFalse_Angle65.png
1,.2,False,65,688.3377329,717.7751754,Shade_Count1_Shade_Depth.2_Shade_VerticalFalse_Angle65.png
2,.2,False,65,675.351392,714.6865954,Shade_Count2_Shade_Depth.2_Shade_VerticalFalse_Angle65.png
3,.2,False,65,655.4262888,711.7681673,Shade_Count3_Shade_Depth.2_Shade_VerticalFalse_Angle65.png
4,.2,False,65,643.9257373,709.2249576,Shade_Count4_Shade_Depth.2_Shade_VerticalFalse_Angle65.png
0,.3,False,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalFalse_Angle65.png
1,.3,False,65,680.2508762,716.2256857,Shade_Count1_Shade_Depth.3_Shade_VerticalFalse_Angle65.png
2,.3,False,65,662.1145024,711.7908382,Shade_Count2_Shade_Depth.3_Shade_VerticalFalse_Angle65.png
3,.3,False,65,636.9537421,708.1740614,Shade_Count3_Shade_Depth.3_Shade_VerticalFalse_Angle65.png
4,.3,False,65,631.1108253,706.1321879,Shade_Count4_Shade_Depth.3_Shade_VerticalFalse_Angle65.png
0,.4,False,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalFalse_Angle65.png
1,.4,False,65,668.6150807,714.7174235,Shade_Count1_Shade_Depth.4_Shade_VerticalFalse_Angle65.png
2,.4,False,65,641.5220376,709.2473302,Shade_Count2_Shade_Depth.4_Shade_VerticalFalse_Angle65.png
3,.4,False,65,624.4896884,706.0936502,Shade_Count3_Shade_Depth.4_Shade_VerticalFalse_Angle65.png
4,.4,False,65,623.3980211,705.6382214,Shade_Count4_Shade_Depth.4_Shade_VerticalFalse_Angle65.png
0,.1,True,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.1_Shade_VerticalTrue_Angle65.png
1,.1,True,65,701.7165314,720.749813,Shade_Count1_Shade_Depth.1_Shade_VerticalTrue_Angle65.png
2,.1,True,65,700.7634734,720.4874916,Shade_Count2_Shade_Depth.1_Shade_VerticalTrue_Angle65.png
3,.1,True,65,699.8120163,720.2253695,Shade_Count3_Shade_Depth.1_Shade_VerticalTrue_Angle65.png
4,.1,True,65,691.9213877,719.9637296,Shade_Count4_Shade_Depth.1_Shade_VerticalTrue_Angle65.png
0,.2,True,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.2_Shade_VerticalTrue_Angle65.png
1,.2,True,65,701.1408682,720.5363163,Shade_Count1_Shade_Depth.2_Shade_VerticalTrue_Angle65.png
2,.2,True,65,699.2782681,720.0179383,Shade_Count2_Shade_Depth.2_Shade_VerticalTrue_Angle65.png
3,.2,True,65,697.2217225,719.5003435,Shade_Count3_Shade_Depth.2_Shade_VerticalTrue_Angle65.png
4,.2,True,65,687.5810451,718.9837428,Shade_Count4_Shade_Depth.2_Shade_VerticalTrue_Angle65.png
0,.3,True,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.3_Shade_VerticalTrue_Angle65.png
1,.3,True,65,700.5887982,720.3285857,Shade_Count1_Shade_Depth.3_Shade_VerticalTrue_Angle65.png
2,.3,True,65,697.8595067,719.5617671,Shade_Count2_Shade_Depth.3_Shade_VerticalTrue_Angle65.png
3,.3,True,65,693.8404298,718.7966074,Shade_Count3_Shade_Depth.3_Shade_VerticalTrue_Angle65.png
4,.3,True,65,685.6183319,718.0333124,Shade_Count4_Shade_Depth.3_Shade_VerticalTrue_Angle65.png
0,.4,True,65,702.3268884,720.9675815,Shade_Count0_Shade_Depth.4_Shade_VerticalTrue_Angle65.png
1,.4,True,65,700.0017024,720.1276725,Shade_Count1_Shade_Depth.4_Shade_VerticalTrue_Angle65.png
